"","Text1"
"¡ª¡¯s",2
"¡¯ll",96
"¡¯m¡­",1
"¡¯re",139
"¡¯ve",119
"¡°¡¯ll",2
"¡°¡¯m",1
"¡°biological",1
"¡°closed¡±",2
"¡°don¡¯t",1
"¡°germs",1
"¡°right¡±",1
"¡°well",7
"abel",4
"abide",1
"ability",1
"able",12
"absolutely",5
"absorb",1
"academician",1
"accelerated",3
"access",1
"accident",2
"accidental",2
"accidental¡ª",1
"accidents",3
"accomplish",2
"accomplished",1
"account",2
"accounting",1
"accurate",1
"achieved",1
"achievement",1
"acre",7
"acres",2
"across",4
"act",2
"acted",6
"acting",1
"action",5
"actions",1
"activities",1
"acts",1
"actual",1
"actually",33
"adam",1
"add",5
"added",3
"addendum",1
"adding",1
"addition",2
"address",2
"adequate",1
"adequately",1
"adjacent",1
"adjourned",1
"adjust",1
"administer",1
"admire",1
"adopt",1
"adopted",3
"advance",1
"advanced",1
"advantage",7
"advantageous",1
"advantages",2
"advertise",1
"advertising",2
"advice",6
"advisable",1
"advising",2
"advisory",8
"affect",3
"affected",2
"affects",8
"afternoon",1
"age",10
"agenda",2
"aggressively",1
"ago",29
"agree",2
"agreed",1
"ahead",5
"aig",1
"aim",1
"air",2
"airbus",1
"aircraft",4
"aircrafts",1
"airline",15
"airlines",18
"airplanes",1
"ajit",6
"ajit¡¯s",1
"alee",1
"allocating",1
"allocation",5
"allow",2
"allowed",3
"almost",8
"alone",2
"along",19
"aloud",1
"already",2
"also",14
"alternative",1
"although",7
"always",21
"amazed",2
"amazing",3
"amendment",1
"america",22
"america¡¯s",1
"american",17
"americans",3
"among",3
"amount",12
"amounts",4
"anadarko",1
"analysis",1
"andrew",3
"annual",8
"annually",1
"another",15
"answer",11
"answering",1
"answers",1
"anthrax",1
"anxiety",1
"anybody",21
"anybody¡¯s",1
"anymore",4
"anyone",1
"anything",43
"anytime",1
"anyway",6
"apartment",1
"apartments",1
"apparent",1
"appear",1
"appears",1
"appetite",1
"appliances",1
"applicable",1
"applied",1
"applies",1
"apply",1
"appointed",2
"appraisal",1
"appreciate",2
"approach",3
"approve",2
"april",7
"arbitrage",1
"area",1
"aren¡¯t",3
"argentina",1
"argue",2
"arguing",1
"argument",1
"arguments",1
"arise",2
"arises",1
"arkansas",1
"around",22
"arrange",1
"arrangements",1
"arriving",1
"arsonist",1
"aside",1
"ask",3
"asked",2
"aspect",2
"aspects",1
"aspirational",1
"aspirations",2
"assembled",1
"assessed",1
"assessments",1
"asset",2
"assets",2
"associated",1
"assume",1
"assuming",1
"assure",3
"attached",2
"attack",1
"attend",1
"attention",6
"attire",1
"attitude",1
"attracted",1
"attractive",8
"auditorium",1
"august",2
"authorities",1
"authorizing",1
"auto",9
"automatically",1
"automobile",1
"available",5
"average",9
"avoid",2
"away",12
"awful",1
"awfully",1
"back",31
"backed",2
"background",1
"backing",1
"backup",1
"bad",4
"bad¡±",1
"balance",7
"balls",1
"baloney",1
"baltimore",1
"bank",13
"banking",5
"banks",17
"bargain",1
"barman",1
"barrel",5
"barrels",3
"based",5
"basic",1
"basically",13
"basis",6
"bat",1
"batch",1
"batting",1
"bear",1
"bearings",1
"beat",1
"beaten",1
"became",4
"becky",11
"becky¡¯s",1
"become",3
"becomes",1
"began",1
"beginning",1
"behalf",2
"behave",2
"behaved",1
"behavior",2
"behavioral",1
"behind",6
"believe",24
"belong",1
"ben",4
"beneficial",1
"beneficiaries",1
"benefit",1
"benefits",1
"berkshire",56
"berkshire¡¯s",9
"berkshirehathawaycom",2
"bernanke¡¯s",1
"best",18
"best¡­",1
"bet",12
"beth",1
"better",40
"betting",1
"beyond",2
"bias",1
"big",24
"biggest",1
"bill",10
"billion",57
"billions",2
"bills",9
"biological",1
"biology",1
"birth",3
"bit",12
"black",1
"blaming",1
"blanche",1
"blanche¡¯s",1
"blow",2
"blowing",1
"blue",1
"bnsf",1
"board",5
"boards",1
"bodies",1
"boeing",4
"boiler",1
"bond",2
"bonds",6
"book",12
"books",1
"bookworm",4
"borders¡±",1
"born",8
"borrow",4
"borrowed",4
"borrowing",2
"borrowings",1
"bosanek",4
"boss",1
"bothered",1
"bothers",1
"bottom",5
"bought",29
"bouncing",1
"box",2
"brainpower",1
"break",3
"breakup",2
"brief",2
"briefly",1
"bring",8
"brittle",1
"broad",1
"broader",1
"broke",3
"brought",2
"brutal",2
"buck¡­",1
"bucks",2
"buffet",2
"buffett",5
"build",4
"building",2
"buildings",1
"built",4
"bump",1
"bumps",1
"bunch",5
"burke",2
"bush",3
"bushels",1
"business",106
"businesses",59
"buy",42
"buyback",1
"buybacks",4
"buyers",2
"buyin",1
"buying",12
"buys",1
"cable",1
"cain",1
"calculation",1
"call",7
"called",8
"calls",6
"came",12
"cameron",1
"can",108
"can¡¯t",18
"canceled",1
"candy",3
"capacity",3
"capita",1
"capital",37
"capitalism",5
"capitalist",1
"capitalists",1
"capitalized",1
"card",1
"card¡±",1
"cards",6
"care",11
"cared",1
"careful",2
"caring",1
"carnegie",1
"carol",1
"carried",2
"carroll",1
"carry",3
"cars",1
"carter",1
"case",14
"cases",9
"cash",16
"cast",1
"castparts",3
"categories",1
"caught",3
"cause",1
